Time,Value
0.843,0.283
0.844,0.283
0.845,0.283
0.846,0.283
0.847,0.283
0.848,0.283
0.849,0.283
0.850,0.282
0.851,0.282
0.852,0.282
0.853,0.282
0.854,0.282
0.855,0.282
0.856,0.282
0.857,0.282
0.858,0.281
0.859,0.281
0.860,0.281
0.861,0.281
0.862,0.281
0.863,0.281
0.864,0.281
0.865,0.281
0.866,0.280
0.867,0.280
0.868,0.280
0.869,0.280
0.870,0.280
0.871,0.280
0.872,0.280
0.873,0.280
0.874,0.279
0.875,0.279
0.876,0.279
0.877,0.279
0.878,0.279
0.879,0.279
0.880,0.279
0.881,0.279
0.882,0.278
0.883,0.278
0.884,0.278
0.885,0.278
0.886,0.278
0.887,0.278
0.888,0.278
0.889,0.278
0.890,0.278
0.891,0.277
0.892,0.277
0.893,0.277
0.894,0.277
0.895,0.277
0.896,0.277
0.897,0.277
0.898,0.277
0.899,0.276
0.900,0.276
0.901,0.276
0.902,0.276
0.903,0.276
0.904,0.276
0.905,0.276
0.906,0.276
0.907,0.276
0.908,0.275
0.909,0.275
0.910,0.275
0.911,0.275
0.912,0.275
0.913,0.275
0.914,0.275
0.915,0.275
0.916,0.275
0.917,0.274
0.918,0.274
0.919,0.274
0.920,0.274
0.921,0.274
0.922,0.274
0.923,0.274
0.924,0.274
0.925,0.274
0.926,0.273
0.927,0.273
0.928,0.273
0.929,0.273
0.930,0.273
0.931,0.273
0.932,0.273
0.933,0.273
0.934,0.273
0.935,0.272
0.936,0.272
0.937,0.272
0.938,0.272
0.939,0.272
0.940,0.272
0.941,0.272
0.942,0.272
0.943,0.272
0.944,0.272
0.945,0.271
0.946,0.271
0.947,0.271
0.948,0.271
0.949,0.271
0.950,0.271
0.951,0.271
0.952,0.271
0.953,0.271
0.954,0.270
0.955,0.270
0.956,0.270
0.957,0.270
0.958,0.270
0.959,0.270
0.960,0.270
0.961,0.270
0.962,0.270
0.963,0.270
0.964,0.269
0.965,0.269
0.966,0.269
0.967,0.269
0.968,0.269
0.969,0.269
0.970,0.269
0.971,0.269
0.972,0.269
0.973,0.269
0.974,0.268
0.975,0.268
0.976,0.268
0.977,0.268
0.978,0.268
0.979,0.268
0.980,0.268
0.981,0.268
0.982,0.268
0.983,0.268
0.984,0.267
0.985,0.267
0.986,0.267
0.987,0.267
0.988,0.267
0.989,0.267
0.990,0.267
0.991,0.267
0.992,0.267
0.993,0.267
0.994,0.266
0.995,0.266
0.996,0.266
0.997,0.266
0.998,0.266
0.999,0.266
1.000,0.266
1.001,0.266
1.002,0.266
1.003,0.266
1.004,0.265
1.005,0.265
1.006,0.265
1.007,0.265
1.008,0.265
1.009,0.265
1.010,0.265
1.011,0.265
1.012,0.265
1.013,0.265
1.014,0.265
1.015,0.264
1.016,0.264
1.017,0.264
1.018,0.264
1.019,0.264
1.020,0.264
1.021,0.264
1.022,0.264
1.023,0.264
1.024,0.264
1.025,0.264
1.026,0.263
1.027,0.263
1.028,0.263
1.029,0.263
1.030,0.263
1.031,0.263
1.032,0.263
1.033,0.263
1.034,0.263
1.035,0.263
1.036,0.263
1.037,0.262
1.038,0.262
1.039,0.262
1.040,0.262
1.041,0.262
1.042,0.262
1.043,0.262
1.044,0.262
1.045,0.262
1.046,0.262
1.047,0.262
1.048,0.261
1.049,0.261
1.050,0.261
1.051,0.261
1.052,0.261
1.053,0.261
1.054,0.261
1.055,0.261
1.056,0.261
1.057,0.261
1.058,0.261
1.059,0.260
1.060,0.260
1.061,0.260
1.062,0.260
1.063,0.260
1.064,0.260
1.065,0.260
1.066,0.260
1.067,0.260
1.068,0.260
1.069,0.260
1.070,0.260
1.071,0.260
1.072,0.260
1.073,0.260
1.074,0.260
1.075,0.260
1.076,0.260
1.077,0.260
1.078,0.260
1.079,0.260
1.080,0.260
1.081,0.260
1.082,0.260
1.083,0.260
1.084,0.260
1.085,0.260
1.086,0.260
1.087,0.260
1.088,0.260
1.089,0.260
1.090,0.260
1.091,0.260
1.092,0.260
1.093,0.260
1.094,0.260
1.095,0.260
1.096,0.260
1.097,0.260
1.098,0.261
1.099,0.261
1.100,0.261
1.101,0.261
1.102,0.261
1.103,0.261
1.104,0.261
1.105,0.261
1.106,0.261
1.107,0.261
1.108,0.261
1.109,0.261
1.110,0.261
1.111,0.261
1.112,0.261
1.113,0.262
1.114,0.262
1.115,0.262
1.116,0.262
1.117,0.262
1.118,0.262
1.119,0.262
1.120,0.262
1.121,0.263
1.122,0.263
1.123,0.263
1.124,0.263
1.125,0.263
1.126,0.263
1.127,0.263
1.128,0.264
1.129,0.264
1.130,0.264
1.131,0.264
1.132,0.264
1.133,0.264
1.134,0.265
1.135,0.265
1.136,0.265
1.137,0.265
1.138,0.266
1.139,0.266
1.140,0.266
1.141,0.266
1.142,0.267
1.143,0.267
1.144,0.267
1.145,0.267
1.146,0.268
1.147,0.268
1.148,0.268
1.149,0.268
1.150,0.269
1.151,0.269
1.152,0.269
1.153,0.270
1.154,0.270
1.155,0.270
1.156,0.271
1.157,0.271
1.158,0.271
1.159,0.272
1.160,0.272
1.161,0.273
1.162,0.273
1.163,0.273
1.164,0.274
1.165,0.274
1.166,0.275
1.167,0.275
1.168,0.276
1.169,0.276
1.170,0.276
1.171,0.277
1.172,0.277
1.173,0.278
1.174,0.278
1.175,0.279
1.176,0.279
1.177,0.280
1.178,0.281
1.179,0.281
1.180,0.282
1.181,0.282
1.182,0.283
1.183,0.283
1.184,0.284
1.185,0.285
1.186,0.285
1.187,0.286
1.188,0.287
1.189,0.287
1.190,0.288
1.191,0.289
1.192,0.289
1.193,0.290
1.194,0.291
1.195,0.291
1.196,0.292
1.197,0.293
1.198,0.294
1.199,0.294
1.200,0.295
1.201,0.296
1.202,0.297
1.203,0.297
1.204,0.298
1.205,0.299
1.206,0.300
1.207,0.301
1.208,0.302
1.209,0.303
1.210,0.303
1.211,0.304
1.212,0.305
1.213,0.306
1.214,0.307
1.215,0.308
1.216,0.309
1.217,0.310
1.218,0.311
1.219,0.312
1.220,0.313
1.221,0.314
1.222,0.315
1.223,0.316
1.224,0.317
1.225,0.318
1.226,0.319
1.227,0.321
1.228,0.322
1.229,0.323
1.230,0.324
1.231,0.325
1.232,0.326
1.233,0.328
1.234,0.329
1.235,0.330
1.236,0.331
1.237,0.333
1.238,0.334
1.239,0.335
1.240,0.336
1.241,0.338
1.242,0.339
1.243,0.340
1.244,0.342
1.245,0.343
1.246,0.345
1.247,0.346
1.248,0.347
1.249,0.349
1.250,0.350
1.251,0.352
1.252,0.353
1.253,0.355
1.254,0.356
1.255,0.358
1.256,0.359
1.257,0.361
1.258,0.362
1.259,0.364
1.260,0.366
1.261,0.367
1.262,0.369
1.263,0.371
1.264,0.372
1.265,0.374
1.266,0.376
1.267,0.377
1.268,0.379
1.269,0.381
1.270,0.383
1.271,0.385
1.272,0.386
1.273,0.388
1.274,0.390
1.275,0.392
1.276,0.394
1.277,0.396
1.278,0.398
1.279,0.400
1.280,0.402
1.281,0.404
1.282,0.406
1.283,0.408
1.284,0.410
1.285,0.412
1.286,0.414
1.287,0.416
1.288,0.418
1.289,0.420
1.290,0.422
1.291,0.424
1.292,0.427
1.293,0.429
1.294,0.431
1.295,0.433
1.296,0.436
1.297,0.438
1.298,0.440
1.299,0.443
1.300,0.445
1.301,0.447
1.302,0.450
1.303,0.452
1.304,0.455
1.305,0.457
1.306,0.459
1.307,0.462
1.308,0.464
1.309,0.467
1.310,0.470
1.311,0.472
1.312,0.475
1.313,0.477
1.314,0.480
1.315,0.483
1.316,0.485
1.317,0.488
1.318,0.491
1.319,0.494
1.320,0.496
1.321,0.499
1.322,0.502
1.323,0.505
1.324,0.508
1.325,0.510
1.326,0.513
1.327,0.516
1.328,0.519
1.329,0.522
1.330,0.525
1.331,0.528
1.332,0.531
1.333,0.534
1.334,0.537
1.335,0.540
1.336,0.544
1.337,0.547
1.338,0.550
1.339,0.553
1.340,0.556
1.341,0.560
1.342,0.563
1.343,0.566
1.344,0.569
1.345,0.573
1.346,0.576
1.347,0.580
1.348,0.583
1.349,0.586
1.350,0.590
1.351,0.593
1.352,0.597
1.353,0.600
1.354,0.604
1.355,0.608
1.356,0.611
1.357,0.615
1.358,0.618
1.359,0.622
1.360,0.626
1.361,0.630
1.362,0.633
1.363,0.637
1.364,0.641
1.365,0.645
1.366,0.649
1.367,0.653
1.368,0.656
1.369,0.660
1.370,0.664
1.371,0.668
1.372,0.672
1.373,0.676
1.374,0.680
1.375,0.685
1.376,0.689
1.377,0.693
1.378,0.697
1.379,0.701
1.380,0.705
1.381,0.710
1.382,0.714
1.383,0.718
1.384,0.723
1.385,0.727
1.386,0.731
1.387,0.736
1.388,0.740
1.389,0.745
1.390,0.749
1.391,0.754
1.392,0.758
1.393,0.763
1.394,0.767
1.395,0.772
1.396,0.777
1.397,0.781
1.398,0.786
1.399,0.791
1.400,0.796
1.401,0.801
1.402,0.805
1.403,0.810
1.404,0.815
1.405,0.820
1.406,0.825
1.407,0.830
1.408,0.835
1.409,0.840
1.410,0.845
1.411,0.850
1.412,0.855
1.413,0.861
1.414,0.866
1.415,0.871
1.416,0.876
1.417,0.882
1.418,0.887
1.419,0.892
1.420,0.898
1.421,0.903
1.422,0.908
1.423,0.914
1.424,0.919
1.425,0.925
1.426,0.930
1.427,0.936
1.428,0.942
1.429,0.947
1.430,0.953
1.431,0.959
1.432,0.964
1.433,0.970
1.434,0.976
1.435,0.982
1.436,0.988
1.437,0.994
1.438,1.000
1.439,1.006
1.440,1.012
1.441,1.018
1.442,1.024
1.443,1.030
1.444,1.036
1.445,1.042
1.446,1.048
1.447,1.054
1.448,1.061
1.449,1.067
1.450,1.073
1.451,1.080
1.452,1.086
1.453,1.092
1.454,1.099
1.455,1.105
1.456,1.112
1.457,1.118
1.458,1.125
1.459,1.132
1.460,1.138
1.461,1.145
1.462,1.152
1.463,1.158
1.464,1.165
1.465,1.172
1.466,1.179
1.467,1.186
1.468,1.193
1.469,1.200
1.470,1.207
1.471,1.214
1.472,1.221
1.473,1.228
1.474,1.235
1.475,1.242
1.476,1.249
1.477,1.257
1.478,1.264
1.479,1.271
1.480,1.279
1.481,1.286
1.482,1.293
1.483,1.301
1.484,1.308
1.485,1.316
1.486,1.323
1.487,1.331
1.488,1.339
1.489,1.346
1.490,1.354
1.491,1.362
1.492,1.369
1.493,1.377
1.494,1.385
1.495,1.393
1.496,1.401
1.497,1.409
1.498,1.417
1.499,1.425
1.500,1.433
1.501,1.441
1.502,1.449
1.503,1.457
1.504,1.466
1.505,1.474
1.506,1.482
1.507,1.491
1.508,1.499
1.509,1.507
1.510,1.516
1.511,1.524
1.512,1.533
1.513,1.541
1.514,1.550
1.515,1.559
1.516,1.567
1.517,1.576
1.518,1.585
1.519,1.594
1.520,1.602
1.521,1.611
1.522,1.620
1.523,1.629
1.524,1.638
1.525,1.647
1.526,1.656
1.527,1.665
1.528,1.674
1.529,1.684
1.530,1.693
1.531,1.702
1.532,1.711
1.533,1.721
1.534,1.730
1.535,1.740
1.536,1.749
1.537,1.759
1.538,1.768
1.539,1.778
1.540,1.787
1.541,1.797
1.542,1.807
1.543,1.816
1.544,1.826
1.545,1.836
1.546,1.846
1.547,1.856
1.548,1.866
1.549,1.876
1.550,1.886
1.551,1.896
1.552,1.906
1.553,1.916
1.554,1.926
1.555,1.937
1.556,1.947
1.557,1.957
1.558,1.968
1.559,1.978
1.560,1.988
1.561,1.999
1.562,2.009
1.563,2.020
1.564,2.031
1.565,2.041
1.566,2.052
1.567,2.063
1.568,2.074
1.569,2.084
1.570,2.095
1.571,2.106
1.572,2.117
1.573,2.128
1.574,2.139
1.575,2.150
1.576,2.162
1.577,2.173
1.578,2.184
1.579,2.195
1.580,2.207
1.581,2.218
1.582,2.229
1.583,2.241
1.584,2.252
1.585,2.264
1.586,2.275
1.587,2.287
1.588,2.299
1.589,2.310
1.590,2.322
1.591,2.334
1.592,2.346
1.593,2.358
1.594,2.370
1.595,2.382
1.596,2.394
1.597,2.406
1.598,2.418
1.599,2.430
1.600,2.442
1.601,2.454
1.602,2.467
1.603,2.479
1.604,2.492
1.605,2.504
1.606,2.516
1.607,2.529
1.608,2.542
1.609,2.554
1.610,2.567
1.611,2.580
1.612,2.592
1.613,2.605
1.614,2.618
1.615,2.631
1.616,2.644
1.617,2.657
1.618,2.670
1.619,2.683
1.620,2.696
1.621,2.709
1.622,2.723
1.623,2.736
1.624,2.749
1.625,2.763
1.626,2.776
1.627,2.790
1.628,2.803
1.629,2.817
1.630,2.830
1.631,2.844
1.632,2.858
1.633,2.871
1.634,2.885
1.635,2.899
1.636,2.913
1.637,2.927
1.638,2.941
1.639,2.955
1.640,2.969
1.641,2.983
1.642,2.998
1.643,3.012
1.644,3.026
1.645,3.041
1.646,3.055
1.647,3.069
1.648,3.084
1.649,3.098
1.650,3.113
1.651,3.128
1.652,3.142
1.653,3.157
1.654,3.172
1.655,3.187
1.656,3.202
1.657,3.217
1.658,3.232
1.659,3.247
1.660,3.262
1.661,3.277
1.662,3.292
1.663,3.307
1.664,3.323
1.665,3.338
1.666,3.354
1.667,3.369
1.668,3.385
1.669,3.400
1.670,3.416
1.671,3.431
1.672,3.447
1.673,3.463
1.674,3.479
1.675,3.495
1.676,3.511
1.677,3.527
1.678,3.543
1.679,3.559
1.680,3.575
1.681,3.591
1.682,3.607
1.683,3.624
1.684,3.640
1.685,3.656
1.686,3.673
1.687,3.689
1.688,3.706
1.689,3.723
1.690,3.739
1.691,3.756
1.692,3.773
1.693,3.790
1.694,3.806
1.695,3.823
1.696,3.840
1.697,3.857
1.698,3.875
1.699,3.892
1.700,3.909
1.701,3.926
1.702,3.943
1.703,3.961
1.704,3.978
1.705,3.996
1.706,4.013
1.707,4.031
1.708,4.049
1.709,4.066
1.710,4.084
1.711,4.102
1.712,4.120
1.713,4.138
1.714,4.156
1.715,4.174
1.716,4.192
1.717,4.210
1.718,4.228
1.719,4.246
1.720,4.265
1.721,4.283
1.722,4.301
1.723,4.320
1.724,4.338
1.725,4.357
1.726,4.376
1.727,4.394
1.728,4.413
1.729,4.432
1.730,4.451
1.731,4.470
1.732,4.489
1.733,4.508
1.734,4.527
1.735,4.546
1.736,4.565
1.737,4.585
1.738,4.604
1.739,4.623
1.740,4.643
1.741,4.662
1.742,4.682
1.743,4.701
1.744,4.721
1.745,4.741
